LAT_LON,ZIP_CODE_IMPUTED
"40.709183, -73.956825",11249
"40.701275, -73.88887",11385
"40.59662, -74.00231",11214
"40.783268, -73.82485",11354
"40.744644, -73.77041",11364
"40.804375, -73.93742",10035
"40.784615, -73.953964",10128
"40.720535, -73.88885",11379
"40.607685, -74.13892",10314
"40.855972, -73.869896",10462
"40.790276, -73.9396",10029
"40.85169, -73.95238",7024
"40.679955, -73.97491",11217
"40.78291, -73.98578",10069
"40.67308, -73.91124",11236
"40.61763, -74.133575",10314
"40.731407, -73.99698",10012
"40.752563, -73.74328",11362
"40.786366, -73.97598",10024
"40.597683, -73.96686",11223
"40.624763, -73.96518",11230
"40.734486, -73.891754",11377
"40.70839, -74.00482",10038
"40.709835, -74.014885",10006
"40.585342, -73.94157",11235
"40.806835, -73.924355",10454
"40.844883, -73.907295",10453
"40.669777, -73.9583",11225
"40.87356, -73.81853",10475
"40.713135, -74.00407",10000
"40.775486, -73.98217",10023
"40.865536, -73.92728",10034
"40.823772, -73.87245",10472
"40.84497, -73.90247",10457
"40.675507, -74.00075",11231
"40.853477, -73.82622",10461
"40.767612, -73.950005",10162
"40.80066, -73.9544",10026
"40.764103, -73.93277",11106
"40.66735, -73.76994",11434
"40.824265, -73.95642",10031
"40.702045, -73.9156",11237
"40.85306, -73.931",10040
"40.697315, -73.932274",11206
"40.679344, -73.859535",11416
"40.693787, -73.81173",11435
"40.592422, -73.99508",11214
"40.677322, -73.790955",11434
"40.57666, -73.965836",11235
"40.804585, -73.94782",10026
"40.75777, -73.854164",11368
"40.845024, -73.92632",10453
"40.81915, -73.93062",10039
"40.822933, -73.93813",10039
"40.680477, -73.951164",11216
"40.6843, -73.94121",11221
"40.602425, -74.091354",10304
"40.74498, -73.89325",11377
"40.6117, -74.13918",10314
"40.680023, -73.794624",11436
"40.70413, -73.76984",11412
"40.626373, -73.99754",11219
"40.883133, -73.882095",10467
"40.84434, -73.91475",10452
"40.736164, -73.97891",10010
"40.840153, -73.88572",10460
"40.599503, -74.067116",10305
"40.695637, -73.80372",11435
"40.69982, -73.996254",11201
"40.590313, -74.09794",10304
"40.787544, -73.82394",11357
"40.60855, -74.13216",10314
"40.58573, -74.16865",10314
"40.624203, -74.177124",10303
"40.744526, -73.77161",11364
"40.576965, -74.16974",10314
"40.681515, -73.90412",11207
"40.72013, -73.79038",11432
"40.596687, -73.74422",11691
"40.673107, -73.99959",11231
"40.607754, -74.13205",10314
"40.708324, -73.84314",11375
"40.86463, -73.892136",10458
"40.721474, -73.98383",10009
"40.78076, -73.825424",11354
"40.7359, -73.91338",11104
"40.760777, -73.95702",10065
"40.575302, -73.98453",11224
"40.81701, -73.9595",10027
"40.89711, -73.88008",10470
"40.685795, -73.911644",11207
"40.69305, -73.799446",11435
"40.720627, -74.00522",10013
"40.76555, -73.83911",11354
"40.689133, -73.951324",11216
"40.80484, -73.912796",10454
"40.83232, -73.87395",10472
"40.83406, -73.944885",10032
"40.592037, -74.15436",10314
"40.79293, -73.950005",10029
"40.8452, -73.916885",10453
"40.692547, -73.990974",11242
"40.840775, -73.87246",10460
"40.694035, -73.72679",11411
"40.698807, -73.91837",11237
"40.55079, -74.20098",10312
"40.755516, -73.961105",10022
"40.801285, -73.95394",10026
"40.670296, -73.997604",11231
"40.66423, -73.919106",11208
"40.733376, -73.86665",11374
"40.83801, -73.87329",10460
"40.66584, -73.75551",11413
"40.761436, -73.76995",11361
"40.76249, -73.839584",11354
"40.668507, -73.779625",11434
"40.870823, -73.8721",10467
"40.574867, -74.00069",11224
"40.866577, -73.8722",10467
"40.78468, -73.80911",11357
"40.83383, -73.921234",10452
"40.68781, -73.9237",11221
"40.638382, -74.03668",11209
"40.609535, -73.75372",11691
"40.850018, -73.9107",10453
"40.62573, -73.9564",11210
"40.70476, -73.96491",11249
"40.569626, -74.190735",10312
"40.873737, -73.90593",10463
"40.66718, -73.95076",11225
"40.588116, -73.97261",11223
"40.662575, -73.93448",11203
"40.7448, -73.953415",11101
"40.79672, -73.97618",10205
"40.804153, -73.91304",10454
"40.74967, -73.99531",10001
"40.67794, -73.8023",11436
"40.9046, -73.852936",10470
"40.67639, -73.97189",11217
"40.88893, -73.86579",10467
"40.80118, -73.93975",10035
"40.757668, -73.95915",10022
